Order Date,Order ID,Invoice Number,Order Number,Order Type,Order Employee ID,Order Employee Name,Order Employee Custom ID,Note,Currency,Tax Amount,Tip,Service Charge,Credit Surcharge,Discount,Order Total,Payments Total,Payment Note,Refunds Total,Refund Credit Surcharge,Manual Refunds Total,Tender,Credit Card Auth Code,Credit Card Transaction ID,Order Payment State
17-Sep-2022 09:06 PM EDT,JFNZZB9RSSG0R,,43,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,2.11,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Debit Card,047818,226100507538,Paid
17-Sep-2022 08:58 PM EDT,5W8B6RFMMTJEW,,42,,999VWR115M848,MICHAEL KOCAK,,,USD,1.40,0.00,,0.00,0.00,18.40,18.40,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 08:57 PM EDT,ABYC3KZVEZPA8,,41,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Credit Card,09178C,226100507521,Paid
17-Sep-2022 08:55 PM EDT,KMGDQ8S85VBE4,,40,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,4.22,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Credit Card,08819D,226100507504,Paid
17-Sep-2022 08:54 PM EDT,55QFZTAN6HV0M,,39,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 08:53 PM EDT,V033T8HYKMABE,,38,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,4.22,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Debit Card,000750,226100507487,Paid
17-Sep-2022 08:51 PM EDT,PZ2VB69G2D5AC,,37,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,2.11,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Debit Card,035957,226100507470,Paid
17-Sep-2022 08:50 PM EDT,2BH0P6J5E149E,,36,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 08:48 PM EDT,EA3SPW45F7FNP,,35,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,5.63,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Credit Card,07731D,226100507453,Paid
17-Sep-2022 08:47 PM EDT,5ZXXGDQ4GWT3W,,34,,999VWR115M848,MICHAEL KOCAK,,,USD,1.32,2.60,,0.00,0.00,17.32,17.32,,0.00,0.00,0.00,Credit Card,04007C,226100507436,Paid
17-Sep-2022 08:45 PM EDT,Z5S8ZZRMMBD98,,33,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,2.53,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Credit Card,08600B,226100507419,Paid
17-Sep-2022 08:44 PM EDT,7EQ3EEY1F047G,,32,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,4.22,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Credit Card,08797M,226100507402,Paid
17-Sep-2022 08:40 PM EDT,ANKNGSVGSFCQ6,,31,,999VWR115M848,MICHAEL KOCAK,,,USD,1.40,0.00,,0.00,0.00,18.40,18.40,,0.00,0.00,0.00,Debit Card,000699,226100507385,Paid
17-Sep-2022 08:39 PM EDT,XF7EGQD0CGWK6,,30,,999VWR115M848,MICHAEL KOCAK,,,USD,1.40,0.00,,0.00,0.00,18.40,18.40,,0.00,0.00,0.00,Debit Card,649480,226100507368,Paid
17-Sep-2022 08:38 PM EDT,SPDH5KWZF026Y,,29,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 08:35 PM EDT,SYMY5QYBNAN8E,,28,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Credit Card,01784R,226100507351,Paid
17-Sep-2022 08:33 PM EDT,W5VHP6TBNYJYM,,27,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,0.00,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Debit Card,872222,226100507334,Paid
17-Sep-2022 08:32 PM EDT,GF1B13BRFH08Y,,26,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 08:29 PM EDT,HC0V2G1JKPR3C,,25,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 08:25 PM EDT,G2SZ0SSYDEYCP,,24,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 08:22 PM EDT,AGKKMVHCKA3CE,,23,,999VWR115M848,MICHAEL KOCAK,,,USD,2.56,5.03,,0.00,0.00,33.56,33.56,,0.00,0.00,0.00,Debit Card,847651,226100507317,Paid
17-Sep-2022 08:21 PM EDT,K3SG8GJWYEMNM,,22,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 08:18 PM EDT,CYFT7FCAYK1DY,,21,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,0.00,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 08:13 PM EDT,E0553VP048K8M,,20,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,0.00,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 08:11 PM EDT,T8467S70R6S1M,,19,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 08:08 PM EDT,43SBGS82WZ9VG,,18,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,1.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,809178,226100507300,Paid
17-Sep-2022 08:02 PM EDT,ZZAV2KHJNGM28,,17,,999VWR115M848,MICHAEL KOCAK,,,USD,3.30,2.00,,0.00,0.00,43.30,43.30,,0.00,0.00,0.00,Credit Card,09337Z,226100507283,Paid
17-Sep-2022 08:01 PM EDT,DG6GD1Q9PAME0,,16,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 07:59 PM EDT,HXYDPT2878KKP,,15,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,0.00,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,002042,226100507266,Paid
17-Sep-2022 07:58 PM EDT,S5T59R0DVMJ4Y,,14,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,3.90,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,04727I,226000507249,Paid
17-Sep-2022 07:53 PM EDT,D2788GERM5XFM,,13,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,0.00,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Debit Card,071325,226000507232,Paid
17-Sep-2022 07:52 PM EDT,337710785SM9A,,12,,999VWR115M848,MICHAEL KOCAK,,,USD,2.06,0.00,,0.00,0.00,27.06,27.06,,0.00,0.00,0.00,Debit Card,000447,226000507215,Paid
17-Sep-2022 07:51 PM EDT,FXW3NEV0CVYQC,,11,,999VWR115M848,MICHAEL KOCAK,,,USD,3.30,0.00,,0.00,0.00,43.30,43.30,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 07:50 PM EDT,N9BYD9WN4HVWY,,10,,999VWR115M848,MICHAEL KOCAK,,,USD,0.33,0.00,,0.00,0.00,4.33,4.33,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 07:49 PM EDT,X5ZK4P532VWQ2,,09,,999VWR115M848,MICHAEL KOCAK,,,USD,1.49,2.92,,0.00,0.00,19.49,19.49,,0.00,0.00,0.00,Credit Card,017425,226000507198,Paid
17-Sep-2022 07:48 PM EDT,YHYBZNRGKRFRG,,08,,999VWR115M848,MICHAEL KOCAK,,,USD,0.41,0.00,,0.00,0.00,5.41,5.41,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 07:46 PM EDT,24FABS7SBEATT,,07,,999VWR115M848,MICHAEL KOCAK,,,USD,2.56,5.03,,0.00,0.00,33.56,33.56,,0.00,0.00,0.00,Debit Card,098964,226000507181,Paid
17-Sep-2022 07:38 PM EDT,JK97NWSN0E7YW,,06,,999VWR115M848,MICHAEL KOCAK,,,USD,3.30,7.79,,0.00,0.00,43.30,43.30,,0.00,0.00,0.00,Debit Card,002378,226000507164,Paid
17-Sep-2022 07:37 PM EDT,6BP3SEAV2TESG,,05,,999VWR115M848,MICHAEL KOCAK,,,USD,2.15,4.22,,0.00,0.00,28.15,28.15,,0.00,0.00,0.00,Credit Card,017743,226000507147,Paid
17-Sep-2022 07:34 PM EDT,KXC13C054W6ST,,04,,999VWR115M848,MICHAEL KOCAK,,,USD,1.49,0.00,,0.00,0.00,19.49,19.49,,0.00,0.00,0.00,Debit Card,183050,226000507130,Paid
17-Sep-2022 07:33 PM EDT,BFD36CPPM6BZ2,,03,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,3.90,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,001867,226000507113,Paid
17-Sep-2022 07:32 PM EDT,GVGYQMM2VNAG4,,02,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,3.25,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Credit Card,06957C,226000507096,Paid
17-Sep-2022 07:29 PM EDT,DT104CMNQHQBY,,01,,999VWR115M848,MICHAEL KOCAK,,,USD,4.37,8.61,,0.00,0.00,57.37,57.37,,0.00,0.00,0.00,Debit Card,000431,226000507079,Paid
17-Sep-2022 07:28 PM EDT,ZJDK5RY6C3NET,,99,,999VWR115M848,MICHAEL KOCAK,,,USD,0.83,1.62,,0.00,0.00,10.83,10.83,,0.00,0.00,0.00,Credit Card,017398,226000507062,Paid
17-Sep-2022 07:26 PM EDT,XD2WZ8WYQRF1M,,98,,999VWR115M848,MICHAEL KOCAK,,,USD,1.49,2.92,,0.00,0.00,19.49,19.49,,0.00,0.00,0.00,Credit Card,09396D,226000507045,Paid
17-Sep-2022 07:25 PM EDT,BVB7XAWKTA8R6,,97,,999VWR115M848,MICHAEL KOCAK,,,USD,1.07,2.11,,0.00,0.00,14.07,14.07,,0.00,0.00,0.00,Credit Card,849092,226000507028,Paid
17-Sep-2022 07:23 PM EDT,5QGCQZD0TW9ZP,,96,,999VWR115M848,MICHAEL KOCAK,,,USD,3.14,6.17,,0.00,0.00,41.14,41.14,,0.00,0.00,0.00,Credit Card,032959,226000507011,Paid
17-Sep-2022 07:22 PM EDT,MQWPCCWT98XZG,,95,,999VWR115M848,MICHAEL KOCAK,,,USD,3.30,0.00,,0.00,0.00,43.30,43.30,,0.00,0.00,0.00,Cash,,,Paid
17-Sep-2022 07:21 PM EDT,MJE0GFNRYYHE4,,94,,999VWR115M848,MICHAEL KOCAK,,,USD,1.65,3.25,,0.00,0.00,21.65,21.65,,0.00,0.00,0.00,Debit Card,002924,226000506994,Paid
